"idhod","hodnota","vuk","vuk_text","stapro_kod","vuzemi_cis","vuzemi_kod","rok","casref_od","casref_do","vuzemi_txt"
"967566798","151344","DEM0004","Střední stav obyvatel","9379","101","40746","2021","2021-01-01","2021-12-31","Hodonín"
"967574069","101","DEM0004","Střední stav obyvatel","9379","43","548782","2021","2021-01-01","2021-12-31","Jahodov"
"967588249","102799","DEM0004","Střední stav obyvatel","9379","101","40631","2021","2021-01-01","2021-12-31","Svitavy"
"967588270","112206","DEM0004","Střední stav obyvatel","9379","101","40665","2021","2021-01-01","2021-12-31","Jihlava"
"967588299","224794","DEM0004","Střední stav obyvatel","9379","101","40720","2021","2021-01-01","2021-12-31","Brno-venkov"
"967566833","139922","DEM0004","Střední stav obyvatel","9379","101","40835","2021","2021-01-01","2021-12-31","Uherské Hradiště"
"967566863","241184","DEM0004","Střední stav obyvatel","9379","101","40886","2021","2021-01-01","2021-12-31","Karviná"
"967566600","69794","DEM0004","Střední stav obyvatel","9379","101","40339","2021","2021-01-01","2021-12-31","Strakonice"
"967588332","233661","DEM0004","Střední stav obyvatel","9379","101","40789","2021","2021-01-01","2021-12-31","Olomouc"
"967588346","103753","DEM0004","Střední stav obyvatel","9379","101","40827","2021","2021-01-01","2021-12-31","Kroměříž"
"967588373","173853","DEM0004","Střední stav obyvatel","9379","101","40908","2021","2021-01-01","2021-12-31","Opava"
"967588061","164359","DEM0004","Střední stav obyvatel","9379","101","40185","2021","2021-01-01","2021-12-31","Kladno"
"967566657","85452","DEM0004","Střední stav obyvatel","9379","101","40444","2021","2021-01-01","2021-12-31","Sokolov"
"967566668","121643","DEM0004","Střední stav obyvatel","9379","101","40461","2021","2021-01-01","2021-12-31","Chomutov"
"967566679","107090","DEM0004","Střední stav obyvatel","9379","101","40495","2021","2021-01-01","2021-12-31","Most"
"967588124","101333","DEM0004","Střední stav obyvatel","9379","101","40347","2021","2021-01-01","2021-12-31","Tábor"
"967566696","90204","DEM0004","Střední stav obyvatel","9379","101","40533","2021","2021-01-01","2021-12-31","Jablonec nad Nisou"
"967588153","52793","DEM0004","Střední stav obyvatel","9379","101","40410","2021","2021-01-01","2021-12-31","Tachov"
"967588190","85466","DEM0004","Střední stav obyvatel","9379","101","40487","2021","2021-01-01","2021-12-31","Louny"
"967502468","437131","DEM0004","Střední stav obyvatel","9379","100","3077","2021","2021-01-01","2021-12-31","Liberecký kraj"
"967522846","100","DEM0004","Střední stav obyvatel","9379","43","596540","2021","2021-01-01","2021-12-31","Radňoves"
"967545341","503738","DEM0004","Střední stav obyvatel","9379","100","3107","2021","2021-01-01","2021-12-31","Kraj Vysočina"
"967502582","623686","DEM0004","Střední stav obyvatel","9379","100","3123","2021","2021-01-01","2021-12-31","Olomoucký kraj"
"967545232","283677","DEM0004","Střední stav obyvatel","9379","100","3051","2021","2021-01-01","2021-12-31","Karlovarský kraj"
"967520571","100","DEM0004","Střední stav obyvatel","9379","43","588229","2021","2021-01-01","2021-12-31","Zbinohy"
"967505254","100","DEM0004","Střední stav obyvatel","9379","43","532614","2021","2021-01-01","2021-12-31","Vodslivy"
"967545166","636286","DEM0004","Střední stav obyvatel","9379","100","3034","2021","2021-01-01","2021-12-31","Jihočeský kraj"
"967534271","100","DEM0004","Střední stav obyvatel","9379","43","561436","2021","2021-01-01","2021-12-31","Polesí"
"967492825","100","DEM0004","Střední stav obyvatel","9379","43","565920","2021","2021-01-01","2021-12-31","Sudoměř"
"967435745","100","DEM0004","Střední stav obyvatel","9379","43","590991","2021","2021-01-01","2021-12-31","Lesní Jakubov"
"967438457","1180180","DEM0004","Střední stav obyvatel","9379","100","3140","2021","2021-01-01","2021-12-31","Moravskoslezský kraj"
"967447904","100","DEM0004","Střední stav obyvatel","9379","43","558010","2021","2021-01-01","2021-12-31","Louňová"
"967459730","799495","DEM0004","Střední stav obyvatel","9379","100","3069","2021","2021-01-01","2021-12-31","Ústecký kraj"
"967491576","100","DEM0004","Střední stav obyvatel","9379","43","562033","2021","2021-01-01","2021-12-31","Útěchovice pod Stražištěm"
"967438251","577190","DEM0004","Střední stav obyvatel","9379","100","3042","2021","2021-01-01","2021-12-31","Plzeňský kraj"
"967481038","542892","DEM0004","Střední stav obyvatel","9379","100","3085","2021","2021-01-01","2021-12-31","Královéhradecký kraj"
"967438351","513894","DEM0004","Střední stav obyvatel","9379","100","3093","2021","2021-01-01","2021-12-31","Pardubický kraj"
"967459613","1267173","DEM0004","Střední stav obyvatel","9379","100","3018","2021","2021-01-01","2021-12-31","Hlavní město Praha"
"967480860","1380006","DEM0004","Střední stav obyvatel","9379","100","3026","2021","2021-01-01","2021-12-31","Středočeský kraj"
"967566772","1182488","DEM0004","Střední stav obyvatel","9379","100","3115","2021","2021-01-01","2021-12-31","Jihomoravský kraj"
"967570763","100","DEM0004","Střední stav obyvatel","9379","43","536342","2021","2021-01-01","2021-12-31","Krajníčko"
"967582149","100","DEM0004","Střední stav obyvatel","9379","43","578371","2021","2021-01-01","2021-12-31","Malíkov"
"967588342","573014","DEM0004","Střední stav obyvatel","9379","100","3131","2021","2021-01-01","2021-12-31","Zlínský kraj"
